Surface,Route,Component File,Sponsor Slots,Ad Slots,Audio Sponsor Eligible,House Ad Eligible,Opportunity Engine Eligible,Current Fallback,Revenue Status,Empty State,Notes
Admin Overview,/admin or /admin/overview,AdminDashboard.tsx,0,0,No,No,No,Admin controls only,LIVE,No,"Admin console; no monetization surface"
Rankings,/vote/rank/4 or /charts,RankingLeaderboard.tsx,1,0,No,Yes,No,Top performers + discovery,LIVE,Yes,"Leaderboard display; could include sponsor spotlight"
Hall of Fame,/hall-of-fame,HallOfFameGallery.tsx,0,0,No,Yes,No,Historical featured performers,LIVE,Yes,"Archive/legacy page; minimal traffic"
Spotlight Page,/spotlight,SpotlightPage.tsx,1,0,No,Yes,Yes,Featured performer + story + discovery,LIVE,No,"Discovery surface; featured sponsor integration"
Artist Discovery,/artists or /performers,PerformerDiscoveryWall.tsx,2,0,No,Yes,Yes,"Genre filters + discovery rail + featured performers",LIVE,Yes,"Browse artists; sponsor showcase opportunity"
City Artists,/cities/[city]/artists,CityArtistsPage.tsx,1,0,No,Yes,No,City-filtered performer listing,LIVE,Yes,"Geographic discovery; minimal monetization"
Book Artist,/booking/artists/[slug],ArtistBookingPage.tsx,0,0,No,No,No,Booking form only,LIVE,Yes,"Transaction page; maintain focus on booking action"
Events,/empty/events or /live-schedule,EventsListing.tsx,2,0,No,Yes,Yes,"Event list + calendar + sponsor showcase",LIVE,Yes,"Upcoming events discovery; sponsor spotlight"
Rewards,/empty/rewards or /rewards/claims,RewardsCenterShell.tsx,1,0,No,Yes,No,"Rewards claim center + sponsor gift tier info",LIVE,Yes,"Rewards & prizes; sponsorship-gift-reward tie-in"
Guidelines & Policy,/guidelines or /community-guidelines,PolicyPages.tsx,0,0,No,No,No,Policy documentation only,LIVE,No,"Compliance surfaces; no monetization"
Support & Contact,/support/contact,SupportContactPage.tsx,0,0,No,No,No,Support form only,LIVE,Yes,"Customer service; maintain professionalism"
Gift & Merch,/gift or /shop/[slug],MerchStoreShell.tsx,1,0,No,Yes,No,"Merch listing + store browsing",LIVE,Yes,"E-commerce; sponsor product tie-ins possible"
Tax & Payouts,/tax-info or /payouts/request,PayoutPages.tsx,0,0,No,No,No,Financial forms only,LIVE,Yes,"Financial transactions; maintain trust"
Investors,/investors,InvestorLandingPage.tsx,0,0,No,No,No,Investor deck only,LIVE,Yes,"B2B page; no consumer monetization"
Platform Status,/platform-status,PlatformStatusPage.tsx,0,0,No,No,No,Status display only,LIVE,No,"System monitoring; no monetization"
FAQ & Issues,/issues,IssueTrackerShell.tsx,0,0,No,No,No,Issue reporting only,LIVE,No,"Support system; no monetization"
Search Results,/search,SearchResultsPage.tsx,2,0,No,Yes,Yes,"Result cards + discovery + sponsor carousel",PLANNED,No,"Search surface; sponsor result placements (not yet built)"
Home Loop,/home/loop,HomeLoopPage.tsx,0,0,No,Yes,No,"Infinite scroll discovery",PLANNED,No,"Experimental; future expansion"
